slug	source_label	license	source_url	px
science-of-science-and-management-of-st	Publisher:维普 cqvip (科学学与科学技术管理)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/95119x/95119x.jpg	230x320
scientific-decision-making	Publisher:维普 cqvip (科学决策)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/81696x/81696x.jpg	230x320
scientific-management-research	Publisher:维普 cqvip (科学管理研究)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/95997x/95997x.jpg	230x320
securities-market-herald	Publisher:维普 cqvip (证券市场导报)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/81567x/81567x.jpg	230x320
shanghai-journal-of-economics	Publisher:维普 cqvip (上海经济研究)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/97983x/97983x.jpg	230x320
soft-science	Publisher:维普 cqvip (软科学)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/92359x/92359x.jpg	230x320
sociological-studies	Publisher:维普 cqvip (社会学研究)	Publisher:cqvip	http://image.cqvip.com/vip1000/qkclearimg/80772x/80772x.jpg	230x320
