from_venue	to_venue	to_display_name	mentions	same_discipline	to_coverage	to_tier	to_region
acm-international-conference-on-multimedia-retrieval	ieee-international-symposium-on-biomedical-imaging	IEEE International Symposium on Biomedical Imaging	2	yes	breadth	field	international
acm-international-conference-on-multimedia-retrieval	medical-image-computing-and-computer-assisted-intervention	International Conference on Medical Image Computing and Computer Assisted Intervention	2	yes	breadth	field	international
acm-international-conference-on-tangible-embedded-and-embodied-interaction	chi	CHI	2	no	depth	field	international
acm-international-joint-conference-on-pervasive-and-ubiquitous-computing	acm-international-conference-on-tangible-embedded-and-embodied-interaction	ACM International Conference on Tangible, Embedded, and Embodied Interaction	4	yes	breadth	field	international
acm-international-joint-conference-on-pervasive-and-ubiquitous-computing	chi	CHI	2	no	depth	field	international
acm-international-symposium-on-high-performance-parallel-and-distributed-computing	ppopp	PPoPP	3	no	depth	field	international
acm-international-symposium-on-high-performance-parallel-and-distributed-computing	sigmetrics	SIGMETRICS	2	no	depth	field	international
acm-mm	cvpr	CVPR	15	yes	depth	field	international
acm-mm	acm-international-conference-on-multimedia-retrieval	ACM International Conference on Multimedia Retrieval	14	no	breadth	field	international
acm-mm	acl	ACL	10	yes	depth	field	international
acm-mm	iccv	ICCV	8	yes	depth	field	international
acm-mm	acm-conference-on-computer-and-communications-security	ACM Conference on Computer and Communications Security	7	no	breadth	field	international
acm-mm	neurips	NeurIPS	5	yes	depth	field	international
acm-mm	emnlp	EMNLP	3	yes	depth	field	international
acm-mm	iclr	ICLR	3	yes	depth	field	international
acm-mobicom	mobicom	MobiCom	21	no	depth	field	international
acm-mobicom	mobisys	MobiSys	6	no	depth	field	international
acm-mobicom	nsdi	NSDI	2	no	depth	field	international
acm-mobicom	sigcomm	SIGCOMM	2	no	depth	field	international
acm-mobisys	mobisys	MobiSys	21	no	depth	field	international
acm-mobisys	mobicom	MobiCom	6	no	depth	field	international
acm-mobisys	nsdi	NSDI	2	no	depth	field	international
acm-sigaccess-conference-on-computers-and-accessibility	acm-international-conference-on-tangible-embedded-and-embodied-interaction	ACM International Conference on Tangible, Embedded, and Embodied Interaction	4	yes	breadth	field	international
acm-sigaccess-conference-on-computers-and-accessibility	chi	CHI	2	no	depth	field	international
acm-sigcomm	sigcomm	SIGCOMM	24	no	depth	field	international
acm-sigcomm	conext	CoNEXT	3	no	depth	field	international
acm-sigcomm	infocom	INFOCOM	3	no	depth	field	international
acm-sigcomm	nsdi	NSDI	2	no	depth	field	international
acm-siggraph	siggraph	SIGGRAPH	25	no	depth	field	international
acm-siggraph-asia	siggraph	SIGGRAPH	28	no	depth	field	international
acm-siggraph-asia	acm-siggraph	ACM SIGGRAPH	6	yes	breadth	field	international
acm-siggraph-asia	pacific-graphics	Pacific Graphics	2	yes	breadth	field	international
acm-siggraph-eurographics-symposium-on-computer-animation	siggraph	SIGGRAPH	7	no	depth	field	international
acm-siggraph-eurographics-symposium-on-computer-animation	acm-siggraph	ACM SIGGRAPH	5	yes	breadth	field	international
acm-siggraph-symposium-on-interactive-3d-graphics-and-games	siggraph	SIGGRAPH	12	no	depth	field	international
acm-siggraph-symposium-on-interactive-3d-graphics-and-games	acm-siggraph	ACM SIGGRAPH	6	yes	breadth	field	international
acm-sigir-conference-on-human-information-interaction-and-retrieval	sigir	SIGIR	9	no	depth	field	international
acm-sigir-conference-on-human-information-interaction-and-retrieval	chi	CHI	2	no	depth	field	international
acm-sigir-conference-on-research-and-development-in-information-retrieval	sigir	SIGIR	21	no	depth	field	international
acm-sigir-conference-on-research-and-development-in-information-retrieval	acm-sigir-conference-on-human-information-interaction-and-retrieval	ACM SIGIR Conference on Human Information Interaction and Retrieval	3	yes	breadth	field	international
acm-sigir-conference-on-research-and-development-in-information-retrieval	cikm	CIKM	3	no	depth	field	international
acm-sigir-conference-on-research-and-development-in-information-retrieval	european-conference-on-information-retrieval	European Conference on Information Retrieval	3	yes	breadth	field	international
acm-sigmetrics	sigmetrics	SIGMETRICS	20	no	depth	field	international
acm-sigmetrics	acm-international-symposium-on-high-performance-parallel-and-distributed-computing	ACM International Symposium on High-Performance Parallel and Distributed Computing	2	yes	breadth	field	international
acm-sigmod-international-conference-on-management-of-data	sigmod	SIGMOD	22	no	depth	field	international
acm-sigmod-international-conference-on-management-of-data	vldb	VLDB	5	no	depth	field	international
acm-sigmod-international-conference-on-management-of-data	icde	ICDE	2	no	depth	field	international
acm-sigmod-international-conference-on-management-of-data	icdm	ICDM	2	no	depth	field	international
acm-sigmod-international-conference-on-management-of-data	kdd	KDD	2	no	depth	field	international
acm-sigplan-international-conference-on-functional-programming	cav	CAV	4	no	depth	field	international
acm-sigplan-international-conference-on-functional-programming	pldi	PLDI	4	no	depth	field	international
acm-sigplan-international-conference-on-functional-programming	popl	POPL	4	no	depth	field	international
acm-sigplan-international-conference-on-functional-programming	oopsla	OOPSLA	3	no	depth	field	international
acm-sigplan-international-conference-on-functional-programming	acm-ieee-symposium-on-logic-in-computer-science	ACM/IEEE Symposium on Logic in Computer Science	2	yes	breadth	field	international
acm-workshop-on-hot-topics-in-networks	acm-international-symposium-on-high-performance-parallel-and-distributed-computing	ACM International Symposium on High-Performance Parallel and Distributed Computing	2	yes	breadth	field	international
acm-workshop-on-hot-topics-in-networks	sigmetrics	SIGMETRICS	2	no	depth	field	international
acs-catalysis	nature-catalysis	Nature Catalysis	2	yes	breadth	field	international
acs-central-science	journal-of-the-american-chemical-society	Journal of the American Chemical Society	3	no	depth	field	international
acs-energy-letters	energy-and-environmental-science	Energy & Environmental Science	2	no	breadth	field	international
acta-automatica-sinica	automatica	Automatica	67	no	breadth	field	international
administrative-science-quarterly	strategic-management-journal	Strategic Management Journal	11	yes	depth	FT50 / UTD24	international
administrative-science-quarterly	academy-of-management-journal	Academy of Management Journal	10	yes	depth	FT50 / UTD24	international
administrative-science-quarterly	academy-of-management-review	Academy of Management Review	5	yes	depth	FT50 / UTD24	international
administrative-science-quarterly	organization-science	Organization Science	3	yes	depth	field	international
advanced-energy-materials	advanced-materials	Advanced Materials	2	no	depth	field	international
advanced-energy-materials	energy-and-environmental-science	Energy & Environmental Science	2	no	breadth	field	international
advanced-functional-materials	advanced-materials	Advanced Materials	5	no	depth	field	international
advanced-functional-materials	nature-materials	Nature Materials	2	yes	breadth	field	international
advanced-materials	advanced-functional-materials	Advanced Functional Materials	4	no	breadth	field	international
aej-applied-economics	american-economic-review	American Economic Review	17	no	breadth	field	international
aej-applied-economics	journal-of-economic-literature	Journal of Economic Literature	13	no	depth	field	international
aej-applied-economics	economic-policy	Economic Policy	5	no	depth	field	international
aej-applied-economics	journal-of-development-economics	Journal of Development Economics	2	no	depth	field	international
aej-applied-economics	journal-of-health-economics	Journal of Health Economics	2	no	depth	field	international
aej-applied-economics	journal-of-labor-economics	Journal of Labor Economics	2	no	depth	field	international
aej-economic-policy	economic-policy	Economic Policy	20	yes	depth	field	international
aej-economic-policy	american-economic-review	American Economic Review	10	no	breadth	field	international
aej-economic-policy	journal-of-economic-literature	Journal of Economic Literature	10	no	depth	field	international
aej-macroeconomics	review-of-economic-dynamics	Review of Economic Dynamics	14	yes	depth	field	international
aej-macroeconomics	american-economic-review	American Economic Review	10	no	breadth	field	international
aej-macroeconomics	journal-of-economic-literature	Journal of Economic Literature	9	no	depth	field	international
aej-macroeconomics	journal-of-monetary-economics	Journal of Monetary Economics	7	yes	depth	field	international
aej-microeconomics	journal-of-economic-literature	Journal of Economic Literature	22	no	depth	field	international
aej-microeconomics	journal-of-economic-theory	Journal of Economic Theory	16	no	depth	field	international
aej-microeconomics	games-and-economic-behavior	Games and Economic Behavior	13	no	depth	field	international
aej-microeconomics	econometrica	Econometrica	8	no	depth	top-5 econ	international
aer-insights	american-economic-review	American Economic Review	135	no	breadth	field	international
aer-insights	journal-of-economic-literature	Journal of Economic Literature	5	yes	depth	field	international
agricultural-systems	field-crops-research	Field Crops Research	5	yes	depth	field	international
aistats	neurips	NeurIPS	8	yes	depth	field	international
aistats	icml	ICML	7	yes	depth	field	international
aistats	colt	COLT	6	yes	depth	field	international
aistats	iclr	ICLR	6	yes	depth	field	international
aistats	uai	UAI	6	yes	depth	field	international
aistats	journal-of-machine-learning-research	Journal of Machine Learning Research	4	no	breadth	field	international
american-anthropologist	current-anthropology	Current Anthropology	2	yes	depth	field	international
american-economic-review	journal-of-economic-literature	Journal of Economic Literature	3	no	depth	field	international
american-journal-of-gastroenterology	gastroenterology	Gastroenterology	9	no	breadth	field	international
american-journal-of-political-science	american-political-science-review	American Political Science Review	6	yes	depth	top-3 polisci	international
american-journal-of-political-science	journal-of-politics	Journal of Politics	5	yes	depth	field	international
american-journal-of-political-science	physical-review-e	Physical Review E	2	no	breadth	field	international
american-journal-of-respiratory-and-critical-care-medicine	critical-care-medicine	Critical Care Medicine	5	yes	breadth	field	international
american-journal-of-respiratory-and-critical-care-medicine	the-lancet	The Lancet	2	no	breadth	field	international
american-journal-of-sociology	american-sociological-review	American Sociological Review	22	yes	depth	top-3 sociology	international
american-journal-of-sociology	demography	Demography	5	no	depth	field	international
american-journal-of-sociology	social-forces	Social Forces	5	yes	depth	field	international
american-journal-of-sociology	american-journal-of-political-science	American Journal of Political Science	2	no	depth	top-3 polisci	international
american-journal-of-sociology	american-political-science-review	American Political Science Review	2	no	depth	top-3 polisci	international
american-sociological-review	demography	Demography	2	no	depth	field	international
angewandte-chemie-international-edition	journal-of-the-american-chemical-society	Journal of the American Chemical Society	3	no	depth	field	international
annals-of-internal-medicine	atmospheric-chemistry-and-physics	Atmospheric Chemistry and Physics	6	yes	breadth	field	international
annals-of-mathematics	journal-of-the-american-chemical-society	Journal of the American Chemical Society	3	no	depth	field	international
annals-of-oncology	jama	JAMA	2	no	depth	field	international
annals-of-the-american-association-of-geographers	progress-in-human-geography	Progress in Human Geography	2	yes	depth	field	international
annual-computer-security-applications-conference	european-symposium-on-research-in-computer-security	European Symposium on Research in Computer Security	4	yes	breadth	field	international
annual-computer-security-applications-conference	privacy-enhancing-technologies-symposium	Privacy Enhancing Technologies Symposium	4	yes	breadth	field	international
annual-computer-security-applications-conference	ndss	NDSS	3	no	depth	field	international
annual-computer-security-applications-conference	acm-conference-on-computer-and-communications-security	ACM Conference on Computer and Communications Security	2	no	breadth	field	international
annual-review-of-ecology-evolution-and-systematics	trends-in-ecology-and-evolution	Trends in Ecology & Evolution	2	yes	breadth	field	international
annual-review-of-economics	journal-of-economic-literature	Journal of Economic Literature	17	yes	depth	field	international
annual-review-of-economics	journal-of-economic-perspectives	Journal of Economic Perspectives	10	yes	depth	field	international
