from_venue	to_venue	to_display_name	mentions	same_discipline	to_coverage	to_tier	to_region
corl	icra	ICRA	10	yes	depth	field	international
corl	iclr	ICLR	9	yes	depth	field	international
corl	neurips	NeurIPS	9	yes	depth	field	international
corl	rss	RSS	8	yes	depth	field	international
corl	iros	IROS	7	yes	depth	field	international
corl	icml	ICML	6	yes	depth	field	international
critical-care-medicine	the-lancet	The Lancet	2	no	breadth	field	international
critical-inquiry	new-literary-history	New Literary History	10	no	breadth	field	international
critical-inquiry	pmla	PMLA	10	no	depth	field	international
critical-inquiry	representations	Representations	10	no	breadth	field	international
cscw	chi	CHI	13	yes	depth	field	international
cscw	acm-conference-on-designing-interactive-systems	ACM Conference on Designing Interactive Systems	5	no	breadth	field	international
cscw	facct	FAccT	2	yes	depth	field	international
current-anthropology	american-anthropologist	American Anthropologist	2	yes	depth	field	international
current-biology	cancer-cell	Cancer Cell	3	no	depth	field	international
current-biology	developmental-cell	Developmental Cell	2	no	breadth	field	international
cvpr	eccv	ECCV	14	yes	depth	field	international
cvpr	iccv	ICCV	13	yes	depth	field	international
cvpr	wacv	WACV	8	yes	depth	field	international
cvpr	neurips	NeurIPS	7	yes	depth	field	international
cvpr	icml	ICML	4	yes	depth	field	international
cvpr	siggraph	SIGGRAPH	4	yes	depth	field	international
cvpr	iclr	ICLR	3	yes	depth	field	international
dac	isca	ISCA	11	yes	depth	field	international
dac	micro	MICRO	11	yes	depth	field	international
dac	hpca	HPCA	9	yes	depth	field	international
dac	acm-conference-on-computer-and-communications-security	ACM Conference on Computer and Communications Security	3	no	breadth	field	international
dac	fse	FSE	3	yes	depth	field	international
dac	icse	ICSE	3	yes	depth	field	international
demography	journal-of-marriage-and-family	Journal of Marriage and Family	5	no	depth	field	international
demography	population-and-development-review	Population and Development Review	5	yes	depth	field	international
demography	social-forces	Social Forces	5	no	depth	field	international
developmental-psychology	journal-of-personality-and-social-psychology	Journal of Personality and Social Psychology	3	yes	depth	flagship psych	international
diabetologia	the-lancet	The Lancet	2	no	breadth	field	international
e-government	management-science-cn	管理科学	2	no	breadth	field	china
eacl	acl	ACL	70	yes	depth	field	international
eacl	naacl	NAACL	10	yes	depth	field	international
eacl	emnlp	EMNLP	9	yes	depth	field	international
eacl	colm	COLM	4	yes	depth	field	international
east-china-economic-management	business-management-journal	经济管理	12	yes	breadth	field	china
east-china-economic-management	management-science-cn	管理科学	2	no	breadth	field	china
ecai	ijcai	IJCAI	108	yes	depth	field	international
ecai	aaai	AAAI	21	yes	depth	field	international
ecai	aamas	AAMAS	16	yes	depth	field	international
eccv	cvpr	CVPR	34	yes	depth	field	international
eccv	iccv	ICCV	21	yes	depth	field	international
eccv	wacv	WACV	7	yes	depth	field	international
eccv	british-machine-vision-conference	British Machine Vision Conference	6	no	breadth	field	international
eccv	asian-conference-on-computer-vision	Asian Conference on Computer Vision	3	no	breadth	field	international
eccv	ieee-transactions-on-pattern-analysis-and-machine-intelligence	IEEE Transactions on Pattern Analysis and Machine Intelligence	2	no	breadth	field	international
eccv	neurips	NeurIPS	2	yes	depth	field	international
ecology-letters	current-biology	Current Biology	2	yes	breadth	field	international
ecology-letters	nature-ecology-and-evolution	Nature Ecology & Evolution	2	yes	breadth	field	international
econometric-theory	econometrica	Econometrica	6	yes	depth	top-5 econ	international
econometric-theory	journal-of-econometrics	Journal of Econometrics	5	yes	depth	field	international
econometric-theory	quantitative-economics	Quantitative Economics	5	no	depth	field	international
econometric-theory	american-economic-review	American Economic Review	2	no	breadth	field	international
econometric-theory	quarterly-journal-of-economics	Quarterly Journal of Economics	2	no	depth	top-5 econ	international
econometrica	american-economic-review	American Economic Review	14	no	breadth	field	international
econometrica	journal-of-political-economy	Journal of Political Economy	12	no	depth	top-5 econ	international
econometrica	quarterly-journal-of-economics	Quarterly Journal of Economics	12	no	depth	top-5 econ	international
econometrica	journal-of-economic-literature	Journal of Economic Literature	3	no	depth	field	international
economic-policy	journal-of-public-economics	Journal of Public Economics	4	no	depth	field	international
economic-policy	imf-economic-review	IMF Economic Review	3	no	depth	field	international
economic-policy	world-bank-economic-review	World Bank Economic Review	3	no	depth	field	international
economic-policy	aej-economic-policy	AEJ Economic Policy	2	yes	depth	field	international
economic-research-journal	american-economic-review	American Economic Review	5	no	breadth	field	international
economic-research-journal	journal-of-economic-literature	Journal of Economic Literature	5	yes	depth	field	international
economic-theory-and-business-management	business-management-journal	经济管理	10	no	breadth	field	china
economic-theory-and-business-management	management-science-cn	管理科学	2	no	breadth	field	china
edbt	icdt	ICDT	37	yes	depth	field	international
edbt	sigmod	SIGMOD	25	yes	depth	field	international
edbt	icde	ICDE	20	yes	depth	field	international
edbt	vldb	VLDB	19	yes	depth	field	international
edbt	pods	PODS	2	yes	depth	field	international
emnlp	acl	ACL	35	yes	depth	field	international
emnlp	conference-on-computational-natural-language-learning	Conference on Computational Natural Language Learning	3	no	breadth	field	international
emnlp	eacl	EACL	2	yes	depth	field	international
emnlp	naacl	NAACL	2	yes	depth	field	international
emnlp	neurips	NeurIPS	2	yes	depth	field	international
entrepreneurship-theory-and-practice	academy-of-management-journal	Academy of Management Journal	19	no	depth	FT50 / UTD24	international
entrepreneurship-theory-and-practice	journal-of-business-venturing	Journal of Business Venturing	19	yes	depth	field	international
entrepreneurship-theory-and-practice	research-policy	Research Policy	5	no	depth	field	international
environmental-health-perspectives	environment-international	Environment International	2	yes	breadth	field	international
ethics	philosophy-and-public-affairs	Philosophy & Public Affairs	2	yes	breadth	field	international
eurographics	siggraph	SIGGRAPH	7	no	depth	field	international
eurographics	pacific-graphics	Pacific Graphics	3	yes	breadth	field	international
european-conference-on-information-retrieval	acm-sigir-conference-on-human-information-interaction-and-retrieval	ACM SIGIR Conference on Human Information Interaction and Retrieval	3	yes	breadth	field	international
european-conference-on-information-retrieval	cikm	CIKM	3	no	depth	field	international
european-conference-on-information-retrieval	sigir	SIGIR	3	no	depth	field	international
european-conference-on-machine-learning-and-principles-and-practice-of-knowledge-discovery	kdd	KDD	3	no	depth	field	international
european-conference-on-machine-learning-and-principles-and-practice-of-knowledge-discovery	icml	ICML	2	no	depth	field	international
european-conference-on-machine-learning-and-principles-and-practice-of-knowledge-discovery	neurips	NeurIPS	2	no	depth	field	international
european-economic-review	journal-of-the-european-economic-association	Journal of the European Economic Association	10	yes	depth	field	international
european-economic-review	journal-of-economic-literature	Journal of Economic Literature	8	yes	depth	field	international
european-economic-review	the-economic-journal	The Economic Journal	4	yes	depth	field	international
european-heart-journal	journal-of-the-american-college-of-cardiology	Journal of the American College of Cardiology	3	yes	breadth	field	international
european-heart-journal	circulation	Circulation	2	yes	breadth	field	international
european-sociological-review	american-journal-of-sociology	American Journal of Sociology	2	yes	depth	top-3 sociology	international
european-sociological-review	american-sociological-review	American Sociological Review	2	yes	depth	top-3 sociology	international
european-symposium-on-research-in-computer-security	annual-computer-security-applications-conference	Annual Computer Security Applications Conference	4	yes	breadth	field	international
european-symposium-on-research-in-computer-security	privacy-enhancing-technologies-symposium	Privacy Enhancing Technologies Symposium	4	yes	breadth	field	international
eurosys	sosp	SOSP	10	yes	depth	field	international
eurosys	osdi	OSDI	8	yes	depth	field	international
eurosys	nsdi	NSDI	7	yes	depth	field	international
eurosys	atc	ATC	6	yes	depth	field	international
eurosys	asplos	ASPLOS	5	yes	depth	field	international
eurosys	fast	FAST	4	yes	depth	field	international
eurosys	socc	SoCC	4	yes	depth	field	international
eurosys	acm-conference-on-computer-and-communications-security	ACM Conference on Computer and Communications Security	3	no	breadth	field	international
eurovis	vis	VIS	5	no	depth	field	international
eurovis	chi	CHI	2	no	depth	field	international
eurovis	international-conference-on-advanced-visual-interfaces	International Conference on Advanced Visual Interfaces	2	yes	breadth	field	international
eurovis	uist	UIST	2	no	depth	field	international
experimental-economics	games-and-economic-behavior	Games and Economic Behavior	19	no	depth	field	international
experimental-economics	journal-of-economic-behavior-and-organization	Journal of Economic Behavior and Organization	19	no	depth	field	international
experimental-economics	journal-of-risk-and-uncertainty	Journal of Risk and Uncertainty	2	no	depth	field	international
experimental-economics	management-science	Management Science	2	no	depth	FT50 / UTD24	international
facct	chi	CHI	10	yes	depth	field	international
facct	neurips	NeurIPS	9	yes	depth	field	international
facct	icml	ICML	7	yes	depth	field	international
facct	cscw	CSCW	5	yes	depth	field	international
facct	acm-conference-on-computer-and-communications-security	ACM Conference on Computer and Communications Security	4	no	breadth	field	international
facct	iclr	ICLR	3	yes	depth	field	international
fast	osdi	OSDI	25	yes	depth	field	international
fast	atc	ATC	24	yes	depth	field	international
fast	eurosys	EuroSys	15	yes	depth	field	international
fast	nsdi	NSDI	7	yes	depth	field	international
fast	sosp	SOSP	7	yes	depth	field	international
field-crops-research	agricultural-systems	Agricultural Systems	5	yes	depth	field	international
finance-and-trade-economics	public-finance-research	财政研究	5	no	breadth	field	china
finance-and-trade-economics	tax-research	税务研究	3	no	breadth	field	china
financial-cryptography-and-data-security	acm-conference-on-computer-and-communications-security	ACM Conference on Computer and Communications Security	3	no	breadth	field	international
financial-cryptography-and-data-security	privacy-enhancing-technologies-symposium	Privacy Enhancing Technologies Symposium	2	no	breadth	field	international
financial-management	journal-of-corporate-finance	Journal of Corporate Finance	11	yes	depth	field	international
financial-management	journal-of-financial-and-quantitative-analysis	Journal of Financial and Quantitative Analysis	10	yes	depth	field	international
financial-management	review-of-financial-studies	Review of Financial Studies	9	yes	depth	top-3 finance	international
financial-management	journal-of-financial-economics	Journal of Financial Economics	6	yes	depth	top-3 finance	international
financial-management	journal-of-banking-and-finance	Journal of Banking and Finance	2	yes	depth	field	international
focs	stoc	STOC	29	yes	depth	field	international
focs	soda	SODA	8	yes	depth	field	international
focs	itcs	ITCS	7	yes	depth	field	international
focs	colt	COLT	2	yes	depth	field	international
foreign-economics-and-management	research-on-economics-and-management	经济与管理研究	2	yes	breadth	field	china
forum-on-science-and-technology-in-china	management-science-cn	管理科学	2	no	breadth	field	china
forum-on-science-and-technology-in-china	soft-science	软科学	2	yes	breadth	field	china
forum-on-science-and-technology-in-china	studies-in-science-of-science	科学学研究	2	yes	breadth	field	china
frontiers-of-engineering-management-science-and-technology	management-science-cn	管理科学	7	yes	breadth	field	china
frontiers-of-engineering-management-science-and-technology	management-science	Management Science	2	yes	depth	FT50 / UTD24	international
fse	icse	ICSE	24	yes	depth	field	international
fse	issta	ISSTA	17	yes	depth	field	international
fse	ase	ASE	14	yes	depth	field	international
fse	mining-software-repositories	Mining Software Repositories	6	no	breadth	field	international
fse	acm-conference-on-computer-and-communications-security	ACM Conference on Computer and Communications Security	4	no	breadth	field	international
fse	icsme	ICSME	4	yes	depth	field	international
functional-ecology	ecology-letters	Ecology Letters	2	yes	breadth	field	international
functional-ecology	journal-of-ecology	Journal of Ecology	2	yes	breadth	field	international
games-and-economic-behavior	experimental-economics	Experimental Economics	9	no	depth	field	international
games-and-economic-behavior	journal-of-economic-theory	Journal of Economic Theory	9	no	depth	field	international
games-and-economic-behavior	american-economic-review	American Economic Review	3	no	breadth	field	international
games-and-economic-behavior	econometrica	Econometrica	3	no	depth	top-5 econ	international
governance-journal	public-administration-review	Public Administration Review	8	yes	depth	field	international
governance-journal	journal-of-policy-analysis-and-management	Journal of Policy Analysis and Management	5	no	depth	field	international
governance-journal	journal-of-public-administration-research-and-theory	Journal of Public Administration Research and Theory	5	yes	depth	field	international
governance-journal	american-political-science-review	American Political Science Review	3	no	depth	top-3 polisci	international
gut	gastroenterology	Gastroenterology	4	yes	breadth	field	international
harvard-law-review	yale-law-journal	Yale Law Journal	3	yes	depth	field	international
hpca	isca	ISCA	17	yes	depth	field	international
hpca	micro	MICRO	15	yes	depth	field	international
hpca	asplos	ASPLOS	13	yes	depth	field	international
hri	chi	CHI	18	yes	depth	field	international
hri	icra	ICRA	13	yes	depth	field	international
hri	iros	IROS	11	yes	depth	field	international
hri	corl	CoRL	8	yes	depth	field	international
hri	acm-conference-on-computer-and-communications-security	ACM Conference on Computer and Communications Security	6	no	breadth	field	international
human-relations	journal-of-management-studies	Journal of Management Studies	14	yes	depth	field	international
human-relations	academy-of-management-journal	Academy of Management Journal	11	yes	depth	FT50 / UTD24	international
human-relations	organization-studies	Organization Studies	8	yes	depth	field	international
human-relations	journal-of-management	Journal of Management	3	yes	depth	field	international
human-relations	administrative-science-quarterly	Administrative Science Quarterly	2	yes	depth	FT50 / UTD24	international
human-resource-management	academy-of-management-journal	Academy of Management Journal	13	yes	depth	FT50 / UTD24	international
human-resource-management	journal-of-applied-psychology	Journal of Applied Psychology	13	no	depth	field	international
human-resource-management	journal-of-management	Journal of Management	3	yes	depth	field	international
human-resource-management	human-relations	Human Relations	2	yes	depth	field	international
icalp	focs	FOCS	18	yes	depth	field	international
icalp	soda	SODA	18	yes	depth	field	international
icalp	stoc	STOC	17	yes	depth	field	international
icalp	acm-ieee-symposium-on-logic-in-computer-science	ACM/IEEE Symposium on Logic in Computer Science	12	no	breadth	field	international
icalp	acm-conference-on-computer-and-communications-security	ACM Conference on Computer and Communications Security	6	no	breadth	field	international
icassp	european-economic-review	European Economic Review	6	no	depth	field	international
icassp	isca	ISCA	6	yes	depth	field	international
icassp	neurips	NeurIPS	4	yes	depth	field	international
icassp	aaai	AAAI	3	yes	depth	field	international
icassp	iclr	ICLR	3	yes	depth	field	international
icassp	icml	ICML	3	yes	depth	field	international
icassp	ieee-automatic-speech-recognition-and-understanding-workshop	IEEE Automatic Speech Recognition and Understanding Workshop	2	no	breadth	field	international
icassp	ieee-spoken-language-technology-workshop	IEEE Spoken Language Technology Workshop	2	no	breadth	field	international
iccv	cvpr	CVPR	42	yes	depth	field	international
iccv	eccv	ECCV	24	yes	depth	field	international
iccv	wacv	WACV	5	yes	depth	field	international
iccv	ieee-transactions-on-pattern-analysis-and-machine-intelligence	IEEE Transactions on Pattern Analysis and Machine Intelligence	3	no	breadth	field	international
iccv	neurips	NeurIPS	3	yes	depth	field	international
icde	sigmod	SIGMOD	20	yes	depth	field	international
icde	vldb	VLDB	11	yes	depth	field	international
icde	edbt	EDBT	8	yes	depth	field	international
icdm	kdd	KDD	18	yes	depth	field	international
icdm	siam-international-conference-on-data-mining	SIAM International Conference on Data Mining	16	no	breadth	field	international
icdm	cikm	CIKM	12	yes	depth	field	international
icdm	wsdm	WSDM	8	yes	depth	field	international
icdm	icde	ICDE	4	yes	depth	field	international
icdm	sigmod	SIGMOD	2	yes	depth	field	international
icdm	vldb	VLDB	2	yes	depth	field	international
icdt	pods	PODS	39	yes	depth	field	international
icdt	edbt	EDBT	37	yes	depth	field	international
icdt	sigmod	SIGMOD	9	yes	depth	field	international
icdt	acm-conference-on-computer-and-communications-security	ACM Conference on Computer and Communications Security	8	no	breadth	field	international
icdt	acm-ieee-symposium-on-logic-in-computer-science	ACM/IEEE Symposium on Logic in Computer Science	6	no	breadth	field	international
icdt	icalp	ICALP	5	yes	depth	field	international
iclr	aistats	AISTATS	5	yes	depth	field	international
iclr	kdd	KDD	4	yes	depth	field	international
iclr	uai	UAI	4	yes	depth	field	international
iclr	acl	ACL	3	yes	depth	field	international
iclr	cvpr	CVPR	3	yes	depth	field	international
iclr	icml	ICML	3	yes	depth	field	international
iclr	neurips	NeurIPS	3	yes	depth	field	international
icml	neurips	NeurIPS	7	yes	depth	field	international
icml	colt	COLT	6	yes	depth	field	international
icml	aistats	AISTATS	5	yes	depth	field	international
icml	iclr	ICLR	5	yes	depth	field	international
icml	journal-of-machine-learning-research	Journal of Machine Learning Research	4	no	breadth	field	international
icml	mlsys	MLSys	3	yes	depth	field	international
icml	uai	UAI	3	yes	depth	field	international
icra	iros	IROS	23	yes	depth	field	international
icra	corl	CoRL	9	yes	depth	field	international
icra	rss	RSS	8	yes	depth	field	international
icra	hri	HRI	5	yes	depth	field	international
icra	ieee-international-conference-on-automation-science-and-engineering	IEEE International Conference on Automation Science and Engineering	4	no	breadth	field	international
icra	the-international-journal-of-robotics-research	The International Journal of Robotics Research	4	no	breadth	field	international
icse	fse	FSE	10	yes	depth	field	international
icse	issta	ISSTA	9	yes	depth	field	international
icse	ase	ASE	8	yes	depth	field	international
icse	icsme	ICSME	4	yes	depth	field	international
icse	mining-software-repositories	Mining Software Repositories	4	no	breadth	field	international
icsme	fse	FSE	21	yes	depth	field	international
icsme	icse	ICSE	19	yes	depth	field	international
icsme	mining-software-repositories	Mining Software Repositories	15	no	breadth	field	international
icsme	ase	ASE	2	yes	depth	field	international
icsme	issta	ISSTA	2	yes	depth	field	international
ieee-automatic-speech-recognition-and-understanding-workshop	ieee-spoken-language-technology-workshop	IEEE Spoken Language Technology Workshop	3	yes	breadth	field	international
ieee-automatic-speech-recognition-and-understanding-workshop	american-sociological-review	American Sociological Review	2	no	depth	top-3 sociology	international
ieee-conference-on-virtual-reality-and-3d-user-interfaces	siggraph	SIGGRAPH	4	no	depth	field	international
ieee-conference-on-virtual-reality-and-3d-user-interfaces	chi	CHI	2	no	depth	field	international
ieee-conference-on-virtual-reality-and-3d-user-interfaces	uist	UIST	2	no	depth	field	international
ieee-infocom	infocom	INFOCOM	22	no	depth	field	international
ieee-infocom	conext	CoNEXT	5	no	depth	field	international
ieee-infocom	sigcomm	SIGCOMM	5	no	depth	field	international
ieee-infocom	acm-sigcomm	ACM SIGCOMM	2	yes	breadth	field	international
ieee-infocom	eurosys	EuroSys	2	no	depth	field	international
ieee-international-conference-on-automation-science-and-engineering	hri	HRI	3	no	depth	field	international
ieee-international-conference-on-automation-science-and-engineering	icra	ICRA	2	no	depth	field	international
ieee-international-conference-on-automation-science-and-engineering	iros	IROS	2	no	depth	field	international
ieee-international-conference-on-robot-and-human-interactive-communication	hri	HRI	4	no	depth	field	international
ieee-international-conference-on-robot-and-human-interactive-communication	ieee-international-conference-on-automation-science-and-engineering	IEEE International Conference on Automation Science and Engineering	4	no	breadth	field	international
ieee-international-conference-on-robot-and-human-interactive-communication	icra	ICRA	2	no	depth	field	international
ieee-international-conference-on-robot-and-human-interactive-communication	iros	IROS	2	no	depth	field	international
ieee-international-conference-on-robot-and-human-interactive-communication	rss	RSS	2	no	depth	field	international
ieee-international-conference-on-software-analysis-evolution-and-reengineering	icsme	ICSME	5	no	depth	field	international
ieee-international-conference-on-software-analysis-evolution-and-reengineering	fse	FSE	4	no	depth	field	international
ieee-international-conference-on-software-analysis-evolution-and-reengineering	icse	ICSE	4	no	depth	field	international
ieee-international-conference-on-software-analysis-evolution-and-reengineering	ase	ASE	2	no	depth	field	international
ieee-international-conference-on-software-analysis-evolution-and-reengineering	issta	ISSTA	2	no	depth	field	international
ieee-international-conference-on-software-analysis-evolution-and-reengineering	mining-software-repositories	Mining Software Repositories	2	yes	breadth	field	international
ieee-international-requirements-engineering-conference	ase	ASE	3	no	depth	field	international
ieee-international-requirements-engineering-conference	fse	FSE	2	no	depth	field	international
ieee-international-requirements-engineering-conference	icse	ICSE	2	no	depth	field	international
ieee-international-symposium-on-biomedical-imaging	medical-image-computing-and-computer-assisted-intervention	International Conference on Medical Image Computing and Computer Assisted Intervention	3	yes	breadth	field	international
ieee-international-symposium-on-biomedical-imaging	cvpr	CVPR	2	no	depth	field	international
ieee-international-symposium-on-biomedical-imaging	eccv	ECCV	2	no	depth	field	international
ieee-international-symposium-on-biomedical-imaging	iccv	ICCV	2	no	depth	field	international
ieee-pacific-visualization-symposium	chi	CHI	2	no	depth	field	international
ieee-pacific-visualization-symposium	uist	UIST	2	no	depth	field	international
ieee-ras-international-conference-on-humanoid-robots	icra	ICRA	2	no	depth	field	international
ieee-ras-international-conference-on-humanoid-robots	international-symposium-on-distributed-autonomous-robotic-systems	International Symposium on Distributed Autonomous Robotic Systems	2	yes	breadth	field	international
ieee-ras-international-conference-on-humanoid-robots	iros	IROS	2	no	depth	field	international
ieee-sp	acm-conference-on-computer-and-communications-security	ACM Conference on Computer and Communications Security	7	no	breadth	field	international
ieee-sp	usenix-security	USENIX Security	7	yes	depth	field	international
ieee-sp	ndss	NDSS	6	yes	depth	field	international
ieee-sp	privacy-enhancing-technologies-symposium	Privacy Enhancing Technologies Symposium	3	no	breadth	field	international
ieee-spoken-language-technology-workshop	ieee-automatic-speech-recognition-and-understanding-workshop	IEEE Automatic Speech Recognition and Understanding Workshop	3	yes	breadth	field	international
ieee-spoken-language-technology-workshop	american-sociological-review	American Sociological Review	2	no	depth	top-3 sociology	international
ieee-spoken-language-technology-workshop	interspeech	INTERSPEECH	2	no	depth	field	international
ieee-transactions-on-communications	ieee-journal-on-selected-areas-in-communications	IEEE Journal on Selected Areas in Communications	3	yes	breadth	field	international
ieee-transactions-on-communications	ieee-transactions-on-wireless-communications	IEEE Transactions on Wireless Communications	3	yes	breadth	field	international
ieee-transactions-on-robotics	the-international-journal-of-robotics-research	The International Journal of Robotics Research	2	yes	breadth	field	international
ieee-transactions-on-wireless-communications	ieee-journal-on-selected-areas-in-communications	IEEE Journal on Selected Areas in Communications	4	yes	breadth	field	international
ieee-visualization-conference	vis	VIS	17	no	depth	field	international
ieee-visualization-conference	eurovis	EuroVis	5	yes	breadth	field	international
ijcai	ecai	ECAI	24	yes	depth	field	international
ijcai	acl	ACL	2	yes	depth	field	international
ijcai	colt	COLT	2	yes	depth	field	international
ijcai	cvpr	CVPR	2	yes	depth	field	international
ijcai	icml	ICML	2	yes	depth	field	international
ijcai	neurips	NeurIPS	2	yes	depth	field	international
imc	sigcomm	SIGCOMM	26	yes	depth	field	international
imc	nsdi	NSDI	19	yes	depth	field	international
imc	conext	CoNEXT	8	yes	depth	field	international
imc	usenix-security	USENIX Security	4	yes	depth	field	international
imc	acm-conference-on-computer-and-communications-security	ACM Conference on Computer and Communications Security	3	no	breadth	field	international
imc	acm-sigcomm	ACM SIGCOMM	3	no	breadth	field	international
imf-economic-review	journal-of-international-economics	Journal of International Economics	23	yes	depth	field	international
imf-economic-review	journal-of-international-money-and-finance	Journal of International Money and Finance	21	no	depth	field	international
imf-economic-review	journal-of-economic-literature	Journal of Economic Literature	19	no	depth	field	international
imf-economic-review	journal-of-money-credit-and-banking	Journal of Money Credit and Banking	12	no	depth	field	international
imf-economic-review	economic-policy	Economic Policy	6	no	depth	field	international
infocom	sigcomm	SIGCOMM	30	yes	depth	field	international
infocom	nsdi	NSDI	27	yes	depth	field	international
infocom	ieee-infocom	IEEE INFOCOM	19	no	breadth	field	international
infocom	mobicom	MobiCom	12	yes	depth	field	international
infocom	ieee-journal-on-selected-areas-in-communications	IEEE Journal on Selected Areas in Communications	10	no	breadth	field	international
infocom	acm-mobicom	ACM MobiCom	2	no	breadth	field	international
infocom	acm-sigcomm	ACM SIGCOMM	2	no	breadth	field	international
infocom	mobisys	MobiSys	2	yes	depth	field	international
information-systems-research	journal-of-management-information-systems	Journal of Management Information Systems	16	yes	depth	field	international
information-systems-research	management-science	Management Science	13	no	depth	FT50 / UTD24	international
information-systems-research	journal-of-management	Journal of Management	5	no	depth	field	international
information-systems-research	mis-quarterly	MIS Quarterly	5	yes	depth	FT50 / UTD24	international
informs-journal-on-computing	operations-research	Operations Research	12	no	depth	FT50 / UTD24	international
informs-journal-on-computing	management-science	Management Science	7	no	depth	FT50 / UTD24	international
informs-journal-on-computing	journal-of-communication	Journal of Communication	3	no	depth	field	international
informs-journal-on-computing	journal-on-communications	Journal on Communications	2	no	depth	field	international
inquiry-into-economic-issues	economic-problems	经济问题	9	yes	breadth	field	china
inquiry-into-economic-issues	macroeconomics	宏观经济研究	4	yes	breadth	field	china
integration-of-constraint-programming-artificial-intelligence-and-operations-research	operations-research	Operations Research	5	yes	depth	FT50 / UTD24	international
international-conference-for-high-performance-computing-networking-storage-and-analysis	acm-international-symposium-on-high-performance-parallel-and-distributed-computing	ACM International Symposium on High-Performance Parallel and Distributed Computing	2	yes	breadth	field	international
international-conference-for-high-performance-computing-networking-storage-and-analysis	hpca	HPCA	2	no	depth	field	international
international-conference-on-3d-vision	british-machine-vision-conference	British Machine Vision Conference	2	yes	breadth	field	international
international-conference-on-advanced-visual-interfaces	chi	CHI	2	no	depth	field	international
international-conference-on-advanced-visual-interfaces	eurovis	EuroVis	2	yes	breadth	field	international
international-conference-on-advanced-visual-interfaces	uist	UIST	2	no	depth	field	international
international-conference-on-advanced-visual-interfaces	vis	VIS	2	no	depth	field	international
international-conference-on-automated-machine-learning	mlsys	MLSys	2	no	depth	field	international
international-conference-on-automated-planning-and-scheduling	aamas	AAMAS	2	no	depth	field	international
international-conference-on-autonomous-agents-and-multiagent-systems	aamas	AAMAS	14	no	depth	field	international
international-conference-on-computational-linguistics	acl	ACL	3	no	depth	field	international
international-conference-on-discovery-science	kdd	KDD	2	no	depth	field	international
international-conference-on-knowledge-capture	international-semantic-web-conference	International Semantic Web Conference	4	no	breadth	field	international
international-conference-on-pattern-recognition	cvpr	CVPR	3	no	depth	field	international
international-conference-on-pattern-recognition	eccv	ECCV	3	no	depth	field	international
international-conference-on-pattern-recognition	iccv	ICCV	3	no	depth	field	international
international-conference-on-pattern-recognition	icml	ICML	2	no	depth	field	international
international-conference-on-principles-and-practice-of-constraint-programming	integration-of-constraint-programming-artificial-intelligence-and-operations-research	Integration of Constraint Programming, Artificial Intelligence, and Operations Research	2	no	breadth	field	international
international-conference-on-principles-of-knowledge-representation-and-reasoning	aaai	AAAI	2	no	depth	field	international
international-conference-on-principles-of-knowledge-representation-and-reasoning	ijcai	IJCAI	2	no	depth	field	international
international-conference-on-principles-of-knowledge-representation-and-reasoning	international-semantic-web-conference	International Semantic Web Conference	2	no	breadth	field	international
international-conference-on-theory-and-applications-of-satisfiability-testing	cav	CAV	2	no	depth	field	international
international-economic-review	american-economic-review	American Economic Review	18	no	breadth	field	international
international-economic-review	econometrica	Econometrica	16	no	depth	top-5 econ	international
international-economic-review	journal-of-political-economy	Journal of Political Economy	5	yes	depth	top-5 econ	international
international-economic-review	quarterly-journal-of-economics	Quarterly Journal of Economics	5	yes	depth	top-5 econ	international
international-economic-review	european-economic-review	European Economic Review	3	yes	depth	field	international
international-economic-review	international-symposium-on-experimental-robotics	International Symposium on Experimental Robotics	3	no	breadth	field	international
international-economic-review	journal-of-international-economics	Journal of International Economics	3	no	depth	field	international
international-economic-review	the-economic-journal	The Economic Journal	3	yes	depth	field	international
international-economic-review-cn	economic-review-cn	经济评论	9	no	breadth	field	china
international-economic-review-cn	economic-problems	经济问题	2	no	breadth	field	china
international-economic-review-cn	international-economic-review	International Economic Review	2	yes	depth	field	international
international-economics-and-trade-research	economic-problems	经济问题	2	no	breadth	field	china
international-natural-language-generation-conference	acl	ACL	5	no	depth	field	international
international-organization	american-journal-of-political-science	American Journal of Political Science	4	no	depth	top-3 polisci	international
international-organization	american-political-science-review	American Political Science Review	4	no	depth	top-3 polisci	international
international-organization	journal-of-politics	Journal of Politics	4	no	depth	field	international
international-semantic-web-conference	cikm	CIKM	3	yes	depth	field	international
international-symposium-on-empirical-software-engineering-and-measurement	acm-symposium-on-virtual-reality-software-and-technology	ACM Symposium on Virtual Reality Software and Technology	2	yes	breadth	field	international
international-symposium-on-empirical-software-engineering-and-measurement	mining-software-repositories	Mining Software Repositories	2	yes	breadth	field	international
international-symposium-on-experimental-robotics	international-symposium-on-robotics-research	International Symposium on Robotics Research	7	yes	breadth	field	international
international-symposium-on-experimental-robotics	icra	ICRA	3	no	depth	field	international
international-symposium-on-experimental-robotics	iros	IROS	3	no	depth	field	international
international-symposium-on-research-in-attacks-intrusions-and-defenses	acm-conference-on-computer-and-communications-security	ACM Conference on Computer and Communications Security	2	no	breadth	field	international
international-symposium-on-research-in-attacks-intrusions-and-defenses	ndss	NDSS	2	no	depth	field	international
international-symposium-on-robotics-research	icra	ICRA	4	no	depth	field	international
international-symposium-on-robotics-research	international-symposium-on-experimental-robotics	International Symposium on Experimental Robotics	4	yes	breadth	field	international
